Digital ID,Photographer,Photographer’s Note,Original Item,Original Collection,Repository
1,Ralph M. Aderman,"Jerusalem, Israel. Yad Vashem Memorial, 1987.",35 mm color slide,The Ralph M. Aderman Collection,American Geographical Society Library
2,Ralph M. Aderman,"Jerusalem, Old City, Dome of the Rock, 1987.",35 mm color slide,The Ralph M. Aderman Collection,American Geographical Society Library
3,Ralph M. Aderman,"Jerusalem, Israel.  Old City, bagel cart, 1987.",35 mm color slide,The Ralph M. Aderman Collection,American Geographical Society Library
4,Ralph M. Aderman,"Jerusalem, Israel.  Old City,  1987.",35 mm color slide,The Ralph M. Aderman Collection,American Geographical Society Library
